smiles,orig_smiles,steps,orig_index,is_solved,pipeline_status,syba_score,syba,sa,sc
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,2,14,True,no_warn,50.727587645414175,50.727587645414175,2.769642038505438,2.7483459256283655
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,15,True,no_warn,44.14139312501206,44.14139312501206,2.29798245679401,2.792189020851041
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,1,16,True,no_warn,48.81208197491968,48.81208197491968,2.7784802924328584,1.5079949342666028
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,4,17,True,no_warn,150.82122912386052,150.82122912386052,2.739511948408154,4.783787305947224
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1,18,True,no_warn,50.15074971214013,50.15074971214013,2.123367400171162,3.2376424051049666
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,2,19,True,no_warn,96.25016328739991,96.25016328739991,2.2806390976963122,4.025488275733149
CN=C(NC)NCc1ccccc1,CN=C(NC)NCc1ccccc1,1,20,True,no_warn,45.657755301799405,45.657755301799405,2.07901771258679,2.5553716732456584
Nc1ccc(C(=O)O)c(O)c1,Nc1ccc(C(=O)O)c(O)c1,1,21,True,no_warn,15.041437748812204,15.041437748812204,1.8758889304616861,1.5002399984936674
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,1,22,True,no_warn,30.740963137520577,30.740963137520577,2.3699515522714094,2.9109826384882838
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,2,23,True,no_warn,30.168759979739736,30.168759979739736,2.389897426397283,1.6264205822204092
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,2,24,True,no_warn,6.34494840528261,6.34494840528261,2.5944323945817214,3.7043037892050097
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1,25,True,no_warn,1.925271688208024,1.9252716882080239,3.009146277546133,2.2517762606625173
Nc1ccc(O)c(C(=O)O)c1,Nc1ccc(O)c(C(=O)O)c1,1,26,True,no_warn,17.50999858229341,17.50999858229341,1.8010815034059817,1.6978490226721523
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,1,27,True,no_warn,88.45962485630754,88.45962485630754,2.6115062313418385,4.175703781708254
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1,28,True,no_warn,51.16283783824427,51.16283783824427,1.7627405343309803,1.748995334346941
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,13,29,False,no_warn,5.740153085426403,5.740153085426403,2.141492579888153,2.402927847166386
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,2,30,True,no_warn,57.9089552231152,57.9089552231152,2.2108412569666633,2.1654718272646853
Nc1ccc(S(N)(=O)=O)cc1,Nc1ccc(S(N)(=O)=O)cc1,1,31,True,no_warn,39.46984515509234,39.469845155092344,1.694442246111553,1.4166020865231026
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,2,32,True,no_warn,-11.054443457709118,-11.054443457709118,2.9575392445791007,3.539270119919196
O=NN(CCCl)C(=O)NCCCl,O=NN(CCCl)C(=O)NCCCl,1,33,True,no_warn,18.152177550194537,18.152177550194537,3.127006946023222,2.4443827083731753
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,2,34,True,no_warn,76.60438242156262,76.60438242156262,2.187682929916562,2.569674219623824
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,13,35,False,no_warn,39.52974629620434,39.529746296204344,2.406635201507086,2.499086070482625
CCCN(CCC)CCc1cccc2c1CC(=O)N2,CCCN(CCC)CCc1cccc2c1CC(=O)N2,1,36,True,no_warn,3.2578820373247166,3.2578820373247166,2.4243104819860566,3.8363770840529283
COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,4,37,True,no_warn,34.92982689889061,34.92982689889061,1.7992377221140572,2.55026017950192
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,5,38,True,no_warn,12.131887273048934,12.131887273048934,2.8042153429027508,2.138153752136896
NCCc1ccn[nH]1,NCCc1ccn[nH]1,1,39,True,no_warn,-1.3222597377159553,-1.3222597377159553,2.76406485205405,2.4301339483930446
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,2,40,True,no_warn,23.522569862409124,23.522569862409124,2.807026157060651,4.236587421018591
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,2,41,True,no_warn,110.51266422498205,110.51266422498203,2.0650288908165084,3.459700829186983
Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,1,42,True,no_warn,27.56752935747369,27.56752935747369,2.5435777719868486,2.81909161691064
CCN(CC)CC(=O)Nc1c(C)cccc1C,CCN(CC)CC(=O)Nc1c(C)cccc1C,1,43,True,no_warn,81.58642957853975,81.58642957853975,1.8113130701348688,2.26207691610126
NCCC(O)(P(=O)(O)O)P(=O)(O)O,NCCC(O)(P(=O)(O)O)P(=O)(O)O,2,44,True,no_warn,-0.7384048092896314,-0.7384048092896314,3.3502615862371137,2.726743493912555
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1,45,True,no_warn,59.54928037911348,59.54928037911348,2.20076708575964,2.950142384281386
Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,1,46,True,no_warn,101.5287896553874,101.5287896553874,2.218535079179617,4.995894744939131
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,2,47,True,no_warn,19.582345451464445,19.582345451464445,2.885575425991915,4.260726407636932
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,4,48,False,no_warn,-3.9628173362985497,-3.9628173362985497,2.5265888301230017,3.3450424745811675
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,7,49,False,no_warn,77.96668939570208,77.96668939570208,2.198228894928752,2.957246517218528
CCCC(CCC)C(=O)O,CCCC(CCC)C(=O)O,1,50,True,no_warn,10.61548815473554,10.615488154735539,2.0289841595749216,1.737544700502161
CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,1,51,True,no_warn,48.04889868482046,48.04889868482046,1.4072987978356917,1.5400937083442026
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,2,52,True,no_warn,170.84223674439934,170.84223674439934,2.337357549756243,4.34790812508841
CN(C)CCC=C1c2ccccc2CCc2ccccc21,CN(C)CCC=C1c2ccccc2CCc2ccccc21,10,53,False,no_warn,19.83255724874339,19.83255724874339,2.1742287402304044,2.736771544933988
